Langue;Mot;Traduction;Statut;Frequence
nl;onmiddellijk;immédiat;Prioritaire;4.61
nl;onmogelijk;impossible;Prioritaire;4.65
nl;onrustig;inquiet / agité;Standard;3.5
nl;ontzettend;terrible / énormément;Standard;4.68
nl;onverwacht;inattendu;Prioritaire;4.07
nl;oorlog;de guerre;Prioritaire;5.29
nl;open;ouvert;Prioritaire;5.5
nl;openbaar;public;Prioritaire;4.85
nl;opvallend;frappant / remarquable;Prioritaire;4.41
nl;oud;vieux / ancien;Prioritaire;5.34
nl;overig;restant / autre;Prioritaire;3.73
nl;overmorgen;après-demain;Standard;3.43
nl;pas;seulement / à peine;Prioritaire;5.45
nl;passend;adéquat / convenable;Standard;3.82
nl;persoonlijk;personnel;Prioritaire;4.9
nl;plots;soudain;Prioritaire;4.15
nl;politiek;politique;Prioritaire;5.17
nl;populair;populaire;Standard;4.65
nl;positief;positif;Prioritaire;4.69
nl;precies;précis / exactement;Prioritaire;5.34
nl;prettig;agréable;Standard;4.28
nl;prima;excellent / parfait;Standard;5.1
nl;privé;privé;Standard;4.57
nl;procent;pour cent;Prioritaire;4.97
nl;professioneel;professionnel;Standard;4.39
nl;raar;bizarre;Standard;4.68
nl;recenter;plus récent;Standard;2.72
nl;recht;droit;Prioritaire;5.29
nl;rechtstreeks;direct / directement;Prioritaire;4.41
nl;regelmatig;régulier;Prioritaire;4.88
nl;rijk;riche;Prioritaire;4.86
nl;rood;rouge;Standard;4.84
nl;rond;rond / environ;Prioritaire;5.56
nl;ruim;large / vaste / plus de;Prioritaire;5.05
nl;rustig;calme / tranquille;Prioritaire;5.0
nl;samen;ensemble;Prioritaire;5.75
nl;schoon;propre / beau;Standard;4.69
nl;snel;rapide / vite;Prioritaire;5.74
nl;sommige;certains;Prioritaire;5.33
nl;sociaal;social;Prioritaire;4.8
nl;spannend;captivant / passionnant;Standard;4.43
nl;speciaal;spécial;Prioritaire;4.92
nl;strak;serré / raide;Standard;4.17
nl;streng;sévère;Standard;4.12
nl;talloze;innombrables;Standard;4.26
nl;tegen;contre;Prioritaire;6.11
nl;tegenwoordig;actuel / de nos jours;Prioritaire;5.06
nl;tenminste;au moins;Prioritaire;4.69
nl;tenslotte;enfin / finalement;Prioritaire;4.34
nl;terecht;à juste titre;Prioritaire;4.95
nl;tevreden;content / satisfait;Prioritaire;4.66
nl;thuis;à la maison;Prioritaire;5.48
nl;toch;pourtant / quand même;Prioritaire;6.0
nl;toekomstig;futur;Prioritaire;3.49
nl;toevallig;par hasard;Prioritaire;4.56
nl;totaal;total;Prioritaire;5.12
nl;trouw;fidèle;Standard;4.56
nl;tussen;entre;Prioritaire;5.9
nl;uiterst;extrême / extrêmement;Prioritaire;4.27
nl;uitstekend;excellent;Prioritaire;4.42
nl;vaak;souvent;Prioritaire;5.6
nl;vast;fixe / solide;Prioritaire;5.43
nl;veilig;sûr / en sécurité;Prioritaire;5.12
nl;veel;beaucoup;Prioritaire;6.26
nl;ver;loin;Prioritaire;5.15
nl;verantwoordelijk;responsable;Prioritaire;4.88
nl;verkeerd;mauvais / trompeur;Prioritaire;4.84
nl;verleden;passé;Prioritaire;4.93
nl;verplicht;obligatoire;Prioritaire;4.64
nl;verschillend;différent;Prioritaire;4.13
nl;verstandig;raisonnable / sage;Prioritaire;4.26
nl;vervolgens;ensuite;Prioritaire;5.24
nl;vies;sale;Standard;4.16
nl;vlug;rapide / vite;Standard;3.88
nl;vol;plein;Prioritaire;5.34
nl;voldoende;suffisant;Prioritaire;4.74
nl;volgend;suivant;Prioritaire;4.5
nl;volledig;complet / complètement;Prioritaire;5.08
nl;voor;pour / devant;Prioritaire;7.05
nl;vooral;surtout;Prioritaire;5.61
nl;voorlopig;provisoire;Prioritaire;4.51
nl;voormalig;ancien / ex-;Standard;4.79
nl;voorzichtig;prudent;Prioritaire;4.42
nl;vorig;précédent;Prioritaire;4.95
nl;vrij;libre / assez;Prioritaire;5.42
nl;vreemd;étrange / étranger;Prioritaire;4.76
nl;vriendelijk;amical / aimable;Prioritaire;4.53
nl;vroeg;tôt;Prioritaire;5.35
nl;vrolijk;joyeux;Standard;4.43
nl;waar;vrai;Prioritaire;6.21
nl;waarschijnlijk;probable / sans doute;Prioritaire;5.24
nl;wakker;éveillé;Standard;5.06
